booking_date,country_code,network,funding_source,card_type,transaction_regionality,total_value_eur,total_fee_eur,adyen_interchange_eur,previous_issuer_eur
2020-04-21,NL,MasterCard,CREDIT,Commercial,INTER_REGIONAL,46.29,0.5592,0.7362,0.4982
2020-04-04,US,visa,DEBIT,Standard,INTER_REGIONAL,111.34,1.141,1.8776,0.7843
2020-04-01,DE,visa,DEBIT,Premium,INTRA_REGIONAL,15.56,0.1578,0.2799,0.0969
2020-04-24,DE,visa,DEBIT,other,DOMESTIC,67.85,0.8877,1.3703,0.5586
2020-04-09,GB,visa,DEBIT,Premium,INTER_REGIONAL,25.15,0.2924,0.453,0.2211
2020-04-08,DE,visa,CREDIT,Corporate,DOMESTIC,52.84,0.737,1.3106,0.646
2020-04-08,NL,visa,DEBIT,Standard,INTRA_REGIONAL,83.8,0.718,1.0948,0.5477
2020-04-05,NL,MasterCard,DEBIT,other,INTRA_REGIONAL,17.36,0.1213,0.1582,0.1025
2020-04-24,GB,MasterCard,CREDIT,Standard,INTER_REGIONAL,5.42,0.0305,0.0472,0.0213
2020-04-04,GB,MasterCard,CREDIT,Premium,INTER_REGIONAL,123.91,1.5033,2.8692,1.1551
2020-04-22,GB,visa,CREDIT,Premium,INTER_REGIONAL,6.03,0.0608,0.1232,0.041
2020-04-24,NL,MasterCard,DEBIT,Standard,INTER_REGIONAL,115.7,0.765,1.5635,0.6445
2020-04-29,DE,MasterCard,CREDIT,Standard,DOMESTIC,171.78,2.3982,3.7278,1.5181
2020-04-18,NL,visa,CREDIT,Purchasing,INTER_REGIONAL,40.88,0.4132,0.6751,0.2755
2020-04-03,NL,visa,CREDIT,Standard,INTRA_REGIONAL,10.68,0.1572,0.3254,0.1062
2020-04-19,DE,visa,DEBIT,Standard,INTRA_REGIONAL,178.53,1.7901,2.4009,1.2237
2020-04-14,US,visa,DEBIT,Premium,DOMESTIC,83.16,1.0492,1.5634,0.8587
2020-04-02,NL,MasterCard,CREDIT,Premium,INTER_REGIONAL,8.33,0.1112,0.1731,0.0729
2020-04-01,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,72.16,0.4866,0.9015,0.3484
2020-04-03,US,visa,DEBIT,Standard,DOMESTIC,7.63,0.1051,0.1583,0.0839
2020-04-07,US,MasterCard,CREDIT,Standard,INTER_REGIONAL,5.88,0.0499,0.0939,0.0434
2020-04-08,US,MasterCard,CREDIT,Standard,INTER_REGIONAL,138.22,1.9331,3.4509,1.1652
2020-04-17,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,116.65,0.8449,1.5797,0.5671
2020-04-20,NL,MasterCard,CREDIT,Purchasing,INTRA_REGIONAL,162.41,1.735,2.3855,1.2324
2020-04-01,NL,visa,CREDIT,Premium,DOMESTIC,141.35,1.4172,2.4964,1.0597
2020-04-18,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,63.15,0.4276,0.8776,0.3789
2020-04-07,US,visa,DEBIT,other,INTRA_REGIONAL,19.24,0.1703,0.3373,0.1184
2020-04-23,NL,MasterCard,CREDIT,Super Premium,INTRA_REGIONAL,84.14,0.5025,0.9005,0.4508
2020-04-21,NL,visa,CREDIT,Super Premium,INTRA_REGIONAL,10.48,0.0832,0.162,0.0701
2020-04-23,US,MasterCard,DEBIT,Premium,INTRA_REGIONAL,173.89,1.9997,3.7226,1.6772
2020-04-18,US,visa,DEBIT,Standard,INTRA_REGIONAL,31.58,0.3293,0.5036,0.2559
2020-04-14,NL,visa,CREDIT,Premium,INTER_REGIONAL,17.43,0.1782,0.3414,0.1185
2020-04-08,DE,visa,DEBIT,Premium,INTRA_REGIONAL,170.06,2.5098,4.2994,1.749
2020-04-15,GB,visa,DEBIT,Standard,INTER_REGIONAL,89.53,1.3095,2.5781,1.0591
2020-04-19,NL,visa,DEBIT,Standard,INTRA_REGIONAL,102.97,0.8031,1.6575,0.6596
2020-04-09,DE,MasterCard,DEBIT,Standard,INTER_REGIONAL,151.36,1.9039,2.497,1.2086
2020-04-26,NL,visa,CREDIT,Super Premium,INTRA_REGIONAL,32.35,0.3149,0.453,0.2299
